PRATICA;CERTIFICATO
1016260;29000
1027513;4271,2
1028561;33150
1046285;19999,98
1051244;149452,5
1063845;30680,55
1068897;150000
1072921;25245
1089361;0
1096661;99750
1103047;63000
1111051;69360
1113110;11929718,84
1119176;18182,1
1121726;17956,44
1123858;32010
1124967;106650
1126262;34500
1126295;38800
1127112;9500
1129354;139500
1131083;0
1131155;112500
1131244;146250
1132351;44758
1132437;44250
1139269;26479,18
1140166;7500000
1144150;143116,82
115714;443023,12
115912;18901,34
1162464;67500
116530;42745,39
116812;182630,37
117495;265415,82
1175999;271595,64
1176773;493853,99
118485;227442,78
118539;49470,46
118558;132639,26
119252;377831,43
119379;96600
119426;239608,66
119445;38517,63
119657;77738,27
119719;23234,09
119844;3487,46
119848;-1,81899E-12
120138;113768,19
1201706;55200
1210635;3250000
1215289;72480,73
1224528;370020
1233649;26250
1252472;63687,8
125741;200760
126009;352355,18
1287079;108000
1319205;136000
1323789;187384,52
1330958;24520
1332042;91136
1336207;100000
134400;351743,57
1346187;117056,46
135077;255458,76
136007;1666999,98
136008;199,98
136011;160000
136333;168209,5
1364834;95543,24
137287;441250
1375899;249626,75
1378967;3409,66
138182;276463,71
138464;381539,55
138946;301310,58
139455;377519,96
139529;171464,04
1395521;22000
139625;390334,39
139985;215360,9
141072;189610,63
141234;288532,85
142265;248244,95
142451;136331,01
144117;189731,43
144139;192619,97
144148;230212,56
144149;220530,71
144151;206971,36
144176;168776,63
144201;155002,8
144243;164627,77
144279;143277,81
144288;132667,21
144296;209995,28
144339;225219,2
144343;110385,09
144356;216835,5
144399;173128,21
144400;186273,05
144410;218876,72
144726;247268,09
144790;24799,88
145007;209069,86
145059;57600
145075;347826,41
145178;28400
145382;231764,62
145427;205847,75
145574;130252,32
145923;176150,13
145974;538736,06
146023;192766,11
146301;286289,2
146497;253453,12
1465825;1100000
147018;198827,41
147152;233063,69
147153;326368,01
147178;5,91172E-12
147520;334159,51
147523;260896,96
147579;295898,93
147947;310943,77
148291;190684,79
1485541;200000
148633;237519,3
149049;189724,97
149064;32000
149065;225659,25
1504218;30000
1509344;42697,56
1517901;30000
1520578;30000
1529293;30000
1545438;30000
1554592;30000
1571884;30000
1577459;30000
157994;121070,82
1580785;30000
159069;167769,77
162505;267322,78
162604;171674,8
162943;96427,58
162950;507255
162952;336262,5
163001;86268,36
1708515;10009
179519;59734,35
179917;170100,19
180970;154891,71
182696;216822,17
183702;137499,07
184896;192658,85
185920;142906,59
186981;131040
186982;493841,13
186996;211861,92
186998;488307,18
186999;234445,56
187000;178272
187003;410497,85
187004;97883,54
187005;91912,62
187006;557918,4
187008;183999,6
187009;105391,84
187010;447120,15
187011;440191,77
187012;475955,59
187013;373930,82
187014;250089,24
187015;409922,13
187019;346401,69
187021;302168,28
187023;181628,8
187027;389455,08
187028;271842,9
187031;184192,3
187035;88807,08
187036;270288,57
187039;794397,9
187042;153336
187047;62116,04
187053;170299,58
187056;96313,41
187058;211273,37
187065;357424,07
187071;497009,4
187099;78928,8
187201;794496,58
187230;208777,36
187236;429734,67
187469;182726,6
187653;138338,35
187667;43173,6
189284;94730,81
190358;197345,52
190447;205458,11
190646;173359,05
190840;200484,28
190929;216749,12
190949;195821,08
190964;188711,01
191745;94645,91
192345;177588,89
193474;250000
193917;165867,4
193958;181869,35
194171;148697,28
194233;180197,5
194286;143822,67
194355;228022,02
194468;126539,07
194491;197149,32
194751;126900
194911;181938,17
195148;189265,94
195376;192245,42
195381;96172,04
195405;66504,7
195682;72908,75
196368;114209,45
196370;96067,21
196420;192155,04
196681;95049,29
196916;94381,53
196951;250000
203370;2483309,34
203777;70297,04
205081;71669,14
205558;74868,46
205851;57472,02
214632;1680269,16
225155;497694,03
226149;1534810,33
227333;954875,82
228775;1030556,48
229452;1384007,44
229472;2167781,81
230585;3832,34
230597;2752,97
230601;4640,07
230610;1891,27
230620;4626,81
230624;4195,79
230651;4199
230796;5544
230927;3512,6
231109;5948,74
231628;2357,15
231836;1629895,27
231883;5936,47
232549;1972181,96
232885;2542,93
233221;1945398,15
233887;4569,98
234787;687854
235307;2509784,95
235480;3085,99
236789;1236485,19
236827;2915,13
238104;3689,63
238227;1640931,57
238624;1111823,53
239047;529143,93
240096;919712,25
240750;1587794,88
240963;783476,49
241363;1333284,51
241736;1356253,02
241778;2051,23
242092;59653,02
243643;942130,34
244356;1194619,75
244823;1140733,35
246977;2116965,5
247367;2054129,53
250865;6000
255151;3652
255342;379908
257450;5102,84
260085;51346,59
260791;936236,41
261915;38584,48
262929;41595,15
263584;5236,46
289823;5859,6
297765;4831,67
304873;2452,01
305736;6000
321725;672017,52
325609;3358,9
325730;128556,71
336297;6191,34
341840;10980
343936;27750000
343940;21375000
343952;25000000
344080;79198,11
346117;24400
347232;6750000
347972;71384,88
348693;86288,65
354772;5862,25
355806;4888,06
359002;5556,21
359135;3723,12
367983;10000
367987;8000
367991;10000
367993;10000
367994;10000
367995;10000
367997;10000
367998;8000
368000;10000
368002;10000
368003;10000
368006;10000
368007;10000
368008;10000
368009;8000
368012;9500
368013;10000
368016;10000
368018;8000
368021;10000
368023;10000
368024;8000
368025;10000
368027;10000
368028;8000
368031;10000
368032;8000
368033;8000
368034;10000
368037;10000
368041;10000
368042;10000
368043;10000
368045;10000
368049;8000
368051;10000
368059;8000
368060;10000
368063;8000
368064;8000
368067;8000
368069;10000
368071;10000
368072;8000
368074;10000
368077;8000
368079;10000
368080;8000
368082;8000
368083;10000
368088;10000
368090;10000
368092;8000
368093;8000
368094;8000
368098;10000
368100;10000
368101;10000
368104;10000
368107;8000
368112;8000
368113;8000
368116;10000
368117;10000
368118;8000
368122;8000
368127;10000
368128;10000
368132;8000
368138;8000
368140;10000
368141;10000
368143;8000
368144;10000
368150;10000
368151;10000
368154;8000
368158;10000
368161;10000
368162;10000
368166;10000
368172;8000
368175;10000
368176;8000
368180;8000
368181;8000
368186;8000
368189;8000
368193;8000
368194;8000
368196;10000
368197;10000
368202;8000
368205;8000
368206;10000
368208;8000
368211;8000
368215;8000
368218;10000
368224;8000
368225;8000
368226;10000
368232;8000
368233;8000
368235;10000
368236;10000
368240;8000
368244;8000
368246;8000
368251;8000
368254;10000
368256;8000
368257;8000
368260;8000
368263;8000
368264;8000
368271;10000
368277;8000
368280;8000
368283;8000
368287;8000
368296;10000
368306;10000
368313;8000
368315;10000
368316;10000
368322;10000
368329;8000
368336;8000
368343;10000
368352;10000
368362;10000
368366;10000
368376;10000
368378;8000
368390;8000
368407;10000
368413;10000
368419;8000
368422;8000
368431;8000
368432;8000
368433;10000
368434;8000
368444;10000
368445;8000
368460;8000
368465;10000
368467;10000
368469;10000
368473;8000
368479;8000
368482;10000
368484;8000
368485;8000
368493;10000
368501;10000
368505;10000
368520;8000
368522;8000
368527;10000
368537;8000
368540;8000
368547;10000
368557;10000
368558;8000
368563;10000
368572;10000
368574;8000
368575;8000
368577;10000
368578;10000
368579;10000
368581;10000
368584;8000
368589;8000
368591;10000
368601;8000
368603;10000
368604;8000
368611;8000
368613;8000
368619;8000
368620;8000
368627;10000
368628;8000
368640;10000
368655;8000
368659;10000
368661;8000
368671;8000
368672;8000
368677;8000
368683;8000
368688;10000
368704;10000
368705;8000
368707;10000
368714;10000
368724;8000
368729;10000
368731;10000
368736;8000
368742;8000
368743;8000
368744;8000
368747;8000
368749;10000
368753;8000
368754;8000
368756;8000
368758;10000
368761;8000
368765;8000
368773;10000
368777;8000
368778;10000
368786;8000
368787;8000
368850;10000
368851;10000
368854;10000
368879;10000
368884;10000
368885;10000
368890;8000
368891;8000
368894;8000
368903;8000
368910;8000
368928;8000
368989;8000
369039;8000
369044;10000
369058;8000
369061;10000
369152;8000
369171;8000
369209;8000
369219;8000
369256;8000
369258;10000
